title,genre,year,director1,producer1,producer2,runningTime,writer1,writer2,actor1,actor2
Diao jin gui,Musical,1969,Inoue  Umetsugu,Shaw  Runme,?,111,Inoue  Umetsugu,?,Ho  Peter Chen,?
Los parranderos,Comedy,1963,Crevenna  Alfredo B.,Rosas Priego  Alfonso,?,85,Garc?a Camberos  Mario,Ruanova  Alfredo,Casanova  Fernando,L?pez Ochoa  Manuel
Los parranderos,Musical,1963,Crevenna  Alfredo B.,Rosas Priego  Alfonso,?,85,Garc?a Camberos  Mario,Ruanova  Alfredo,Casanova  Fernando,L?pez Ochoa  Manuel
Los parranderos,Western,1963,Crevenna  Alfredo B.,Rosas Priego  Alfonso,?,85,Garc?a Camberos  Mario,Ruanova  Alfredo,Casanova  Fernando,L?pez Ochoa  Manuel
Showdown in Little Tokyo,Action,1991,Lester  Mark L.,Broderick  John C.,Caan  Martin E.,79,Brattlestreet  Caliope,Glantz  Stephen,Lee  Brandon (I),Lundgren  Dolph
Showdown in Little Tokyo,Comedy,1991,Lester  Mark L.,Broderick  John C.,Caan  Martin E.,79,Brattlestreet  Caliope,Glantz  Stephen,Lee  Brandon (I),Lundgren  Dolph
Showdown in Little Tokyo,Crime,1991,Lester  Mark L.,Broderick  John C.,Caan  Martin E.,79,Brattlestreet  Caliope,Glantz  Stephen,Lee  Brandon (I),Lundgren  Dolph
Showdown in Little Tokyo,Thriller,1991,Lester  Mark L.,Broderick  John C.,Caan  Martin E.,79,Brattlestreet  Caliope,Glantz  Stephen,Lee  Brandon (I),Lundgren  Dolph
Xi yan,Comedy,1993,Lee  Ang,Cheng  Sui Je,Hall  Dolly,106,Lee  Ang,Peng  Neil,Chao  Winston,Lung  Sihung
Xi yan,Drama,1993,Lee  Ang,Cheng  Sui Je,Hall  Dolly,106,Lee  Ang,Peng  Neil,Chao  Winston,Lung  Sihung
Xi yan,Romance,1993,Lee  Ang,Cheng  Sui Je,Hall  Dolly,106,Lee  Ang,Peng  Neil,Chao  Winston,Lung  Sihung
El alegre divorciado,Comedy,1976,Lazaga  Pedro (I),Elvira  Gonzalo (III),Folgar  Jes?s R.,98,Coello  Vicente,Mu?oz Seca  Pedro,Mart?nez Soria  Paco,?
Antichrist,Drama,2009,von Trier  Lars,Brokemper  Bettina,Burah  R?mi,108,von Trier  Lars,?,Dafoe  Willem,Sahlstr?m  Storm Acheche
Antichrist,Horror,2009,von Trier  Lars,Brokemper  Bettina,Burah  R?mi,108,von Trier  Lars,?,Dafoe  Willem,Sahlstr?m  Storm Acheche
Midnight Party,Comedy,1976,Franco  Jes?s (I),Dietrich  Erwin C.,?,94,Dietrich  Erwin C.,Franco  Jes?s (I),Mathot  Olivier,?
Midnight Party,Crime,1976,Franco  Jes?s (I),Dietrich  Erwin C.,?,94,Dietrich  Erwin C.,Franco  Jes?s (I),Mathot  Olivier,?
Midnight Party,Drama,1976,Franco  Jes?s (I),Dietrich  Erwin C.,?,94,Dietrich  Erwin C.,Franco  Jes?s (I),Mathot  Olivier,?
Adada,Drama,1987,Im  Kwon-taek,Park  Jong-chan (I),?,118,Gye  Yong-muk,Yoon  Sam-yuk,Lee  Kyeong-yeong,Park  Woong (I)
Io e te,Drama,2012,Bertolucci  Bernardo,Gianani  Mario,Mieli  Lorenzo,103,Ammaniti  Niccol?,Ammaniti  Niccol?,Antinori  Jacopo Olmo,?
Io e te,Family,2012,Bertolucci  Bernardo,Gianani  Mario,Mieli  Lorenzo,103,Ammaniti  Niccol?,Ammaniti  Niccol?,Antinori  Jacopo Olmo,?
Oi katergarides,Comedy,1963,Tatasopoulos  Stelios,Tatasopoulos  Stelios,?,79,Tempos  Theodoros,?,Manellis  Fragiskos,Miliadis  Takis
Me llaman el cantaclaro,Comedy,1964,Salvador  Jaime,Rosas Priego  Rodolfo,?,95,Salvador  Jaime,?,Riquelme  Carlos,Zerme?o  ?lvaro
Me llaman el cantaclaro,Musical,1964,Salvador  Jaime,Rosas Priego  Rodolfo,?,95,Salvador  Jaime,?,Riquelme  Carlos,Zerme?o  ?lvaro
Me llaman el cantaclaro,Western,1964,Salvador  Jaime,Rosas Priego  Rodolfo,?,95,Salvador  Jaime,?,Riquelme  Carlos,Zerme?o  ?lvaro
Gangaajal,Crime,2003,Jha  Prakash (I),Nischol  Praveen,?,157,Jha  Prakash (I),?,Devgn  Ajay,Joshi  Mohan (I)
Gangaajal,Drama,2003,Jha  Prakash (I),Nischol  Praveen,?,157,Jha  Prakash (I),?,Devgn  Ajay,Joshi  Mohan (I)
Money Train,Action,1995,Ruben  Joseph,Barone  Tracy,Canton  Neil,110,Loughery  David,Richardson  Doug (I),Blake  Robert (I),Harrelson  Woody
Money Train,Comedy,1995,Ruben  Joseph,Barone  Tracy,Canton  Neil,110,Loughery  David,Richardson  Doug (I),Blake  Robert (I),Harrelson  Woody
Money Train,Crime,1995,Ruben  Joseph,Barone  Tracy,Canton  Neil,110,Loughery  David,Richardson  Doug (I),Blake  Robert (I),Harrelson  Woody
Money Train,Drama,1995,Ruben  Joseph,Barone  Tracy,Canton  Neil,110,Loughery  David,Richardson  Doug (I),Blake  Robert (I),Harrelson  Woody
Money Train,Thriller,1995,Ruben  Joseph,Barone  Tracy,Canton  Neil,110,Loughery  David,Richardson  Doug (I),Blake  Robert (I),Harrelson  Woody
Simplemente vivir,Drama,1970,Galindo  Alejandro (I),Gazc?n  Edgardo (II),?,95,Astor  Ra?l,Curiel  Federico,Reynoso  David,Trujillo  Valent?n (I)
Simplemente vivir,Romance,1970,Galindo  Alejandro (I),Gazc?n  Edgardo (II),?,95,Astor  Ra?l,Curiel  Federico,Reynoso  David,Trujillo  Valent?n (I)
Cuo wu de di yi bu,Crime,1979,Tsai  Yang Ming,Chou  Chang-lin,Ma  Hung Yung,99,Chu  Yen-Ping,Ma  Sha (I),Liang  Hsiu-Shen,Ma  Sha (II)
Cuo wu de di yi bu,Thriller,1979,Tsai  Yang Ming,Chou  Chang-lin,Ma  Hung Yung,99,Chu  Yen-Ping,Ma  Sha (I),Liang  Hsiu-Shen,Ma  Sha (II)
Tunneling,Comedy,2014,Huang  James (II),Crapanzano  Massimo,Huang  James (II),5,Crapanzano  Massimo,Lau  Alexander (III),Pelletier  William,?
Tunneling,Romance,2014,Huang  James (II),Crapanzano  Massimo,Huang  James (II),5,Crapanzano  Massimo,Lau  Alexander (III),Pelletier  William,?
Tunneling,Sci-Fi,2014,Huang  James (II),Crapanzano  Massimo,Huang  James (II),5,Crapanzano  Massimo,Lau  Alexander (III),Pelletier  William,?
