movie_id,title,genre0,genre1,year,cast0,cast1,director,writer,runtime,kind,distributors,languages,countries,rating,producer
1409024,Men in Black 3,Action,Comedy,2012,Will Smith,Tommy Lee Jones,Barry Sonnenfeld,Etan Cohen,106,movie,Andes Films,English,USA,6.8,G. Mac Brown
1047540,Parental Guidance,Comedy,Family,2012,Billy Crystal,Bette Midler,Andy Fickman,Lisa Addario,105,movie,20th Century Fox,English,USA,6,Peter Chernin
1636826,Project X,Comedy,Crime,2012,Thomas Mann,Oliver Cooper,Nima Nourizadeh,Matt Drake,88,movie,Columbia TriStar Warner Filmes de Portugal,English,USA,6.7,Scott Budnick
1446714,Prometheus,Adventure,Mystery,2012,Noomi Rapace,Michael Fassbender,Ridley Scott,Jon Spaihts,124,movie,20th Century Fox Australia,English,USA,7,Michael Costigan
1234719,Red Dawn,Action,Thriller,2012,Chris Hemsworth,Josh Peck,Dan Bradley,Carl Ellsworth,93,movie,Alliance Films,English,USA,5.4,Beau Flynn
1446192,Rise of the Guardians,Animation,Adventure,2012,Chris Pine,Alec Baldwin,Peter Ramsey,David Lindsay-Abaire,97,movie,B&H Film Distribution,English,USA,7.3,Nancy Bernstein
1615065,Savages,Crime,Drama,2012,Blake Lively,Taylor Kitsch,Oliver Stone,Shane Salerno,131,movie,Interfilm Distribution,English,USA,6.5,Todd Arnow
1931533,Seven Psychopaths,Comedy,Crime,2012,Michael Pitt,Michael Stuhlbarg,Martin McDonagh,Martin McDonagh,110,movie,Alliance Films,English,UK,7.2,Graham Broadbent
1922777,Sinister,Horror,Mystery,2012,Ethan Hawke,Juliet Rylance,Scott Derrickson,Scott Derrickson,110,movie,Alfa Films,English,USA,6.8,Jason Blum
1074638,Skyfall,Action,Adventure,2012,Daniel Craig,Judi Dench,Sam Mendes,Neal Purvis,143,movie,Sony Pictures International,English,UK,7.8,Barbara Broccoli
1735898,Snow White and the Huntsman,Action,Adventure,2012,Kristen Stewart,Chris Hemsworth,Rupert Sanders,Evan Daugherty,127,movie,B&H Film Distribution,English,USA,6.1,Laurie Boccaccio
1397280,Taken 2,Action,Crime,2012,Liam Neeson,Maggie Grace,Olivier Megaton,Luc Besson,92,movie,20th Century Fox Italia,English,France,6.3,Luc Besson
1637725,Ted,Comedy,Fantasy,2012,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Seth MacFarlane,106,movie,B&H Film Distribution,English,USA,7,Jason Clark
1232200,That's My Boy,Comedy,Comedy,2012,Adam Sandler,Andy Samberg,Sean Anders,David Caspe,116,movie,Andes Films,English,USA,5.6,Barry Bernardi
1758830,This Is 40,Comedy,Comedy,2012,Paul Rudd,Leslie Mann,Judd Apatow,Judd Apatow,134,movie,B&H Film Distribution,English,USA,6.2,Judd Apatow
1386703,Total Recall,Action,Adventure,2012,Colin Farrell,Kate Beckinsale,Len Wiseman,Kurt Wimmer,118,movie,Andes Films,English,USA,6.3,Toby Jaffe
2091473,Promised Land,Drama,Drama,2012,Matt Damon,Benjamin Sheeler,Gus Van Sant,John Krasinski,106,movie,Prorom Media-Trade,English,USA,6.6,Matt Damon
1772341,Wreck-It Ralph,Animation,Adventure,2012,John C. Reilly,Sarah Silverman,Rich Moore,Rich Moore,101,movie,Columbia Pictures,English,USA,7.8,Monica Lago-Kaytis
1351685,Jack the Giant Slayer,Adventure,Fantasy,2013,Nicholas Hoult,Eleanor Tomlinson,Bryan Singer,Darren Lemke,114,movie,ACME Film,English,USA,6.3,Richard Brener
1623205,Oz the Great and Powerful,Adventure,Family,2013,James Franco,Mila Kunis,Sam Raimi,Mitchell Kapner,130,movie,B&H Film Distribution,English,USA,6.4,Debbi Bossi
1606378,A Good Day to Die Hard,Action,Crime,2013,Bruce Willis,Jai Courtney,John Moore,Skip Woods,98,movie,20th Century Fox Netherlands,English,USA,5.3,Stephen J. Eads
1924429,Trance,Crime,Drama,2013,James McAvoy,Vincent Cassel,Danny Boyle,Joe Ahearne,101,movie,20th Century Fox Australia,English,UK,7,Bernard Bellew
2053463,Side Effects,Crime,Drama,2013,Rooney Mara,Carmen Pelaez,Steven Soderbergh,Scott Z. Burns,106,movie,ARP SÌ©lection,English,USA,7.1,Sasha Bardey
2101441,Spring Breakers,Action,Crime,2012,James Franco,Selena Gomez,Harmony Korine,Harmony Korine,94,movie,A24,English,USA,5.3,Charles-Marie Anthonioz
790628,The Incredible Burt Wonderstone,Comedy,Romance,2013,Steve Carell,Steve Buscemi,Don Scardino,Jonathan M. Goldstein,100,movie,Warner Bros. Entertainment,English,USA,5.9,Chris Bender
1433811,Disconnect,Drama,Thriller,2012,Jason Bateman,Hope Davis,Henry Alex Rubin,Andrew Stern,115,movie,Captive Cinema Distribution,English,USA,7.6,Scott Ferguson
1935179,Mud,Drama,Drama,2012,Matthew McConaughey,Reese Witherspoon,Jeff Nichols,Jeff Nichols,130,movie,Lionsgate,English,USA,7.4,Glen Basner
1381404,The Company You Keep,Drama,Thriller,2012,Robert Redford,Shia LaBeouf,Robert Redford,Lem Dobbs,125,movie,ADS Service,English,USA,6.4,Nicolas Chartier
2302755,Olympus Has Fallen,Action,Thriller,2013,Gerard Butler,Aaron Eckhart,Antoine Fuqua,Creighton Rothenberger,119,movie,Millennium Films,English,USA,6.5,Guy Avshalom
1817273,The Place Beyond the Pines,Crime,Drama,2012,Ryan Gosling,Craig Van Hook,Derek Cianfrance,Derek Cianfrance,140,movie,E1 Films Canada,English,USA,7.3,Matt Berenson
1583421,G.I. Joe: Retaliation,Action,Adventure,2013,Dwayne Johnson,Jonathan Pryce,Jon M. Chu,Rhett Reese,110,movie,B&H Film Distribution,English,USA,5.8,Gary Barber
481499,The Croods,Animation,Adventure,2013,Nicolas Cage,Emma Stone,Kirk De Micco,Chris Sanders,98,movie,20th Century Fox Home Entertainment,English,USA,7.3,Kristine Belson
2243537,A Haunted House,Comedy,Horror,2013,Marlon Wayans,Marlene Forte,Michael Tiddes,Marlon Wayans,86,movie,Automatik Entertainment,English,USA,5.1,Rick Alvarez
816711,World War Z,Action,Adventure,2013,Brad Pitt,Mireille Enos,Marc Forster,Matthew Michael Carnahan,116,movie,B&H Film Distribution,English,USA,7,Mark Bakshi
1483013,Oblivion,Action,Adventure,2013,Tom Cruise,Morgan Freeman,Joseph Kosinski,Karl Gajdusek,124,movie,B&H Film Distribution,English,USA,7,Jesse Berger
1731141,Ender's Game,Action,Sci-Fi,2013,Asa Butterfield,Harrison Ford,Gavin Hood,Gavin Hood,114,movie,Constantin Film,English,USA,6.7,Orson Scott Card
1170358,The Hobbit: The Desolation of Smaug,Adventure,Fantasy,2013,Ian McKellen,Martin Freeman,Peter Jackson,Fran Walsh,161,movie,Cocinsa,English,USA,7.9,Carolyn Blackwood
